State,ViolentCrimeRate,MurderRate,Urban,White,HSGraduates,Poverty,SingleParentHousehold
AK,7.61,9,41.8,75.2,86.59999999999999,9.1,14.3
AL,7.8,11.6,67.40000000000001,73.5,66.90000000000001,17.4,11.5
AR,5.93,10.2,44.7,82.90000000000001,66.3,20,10.7
AZ,7.15,8.6,84.7,88.59999999999999,78.7,15.4,12.1
CA,10.78,13.1,96.7,79.3,76.2,18.2,12.5
CO,5.67,5.8,81.8,92.5,84.40000000000001,9.9,12.1
CT,4.56,6.3,95.7,89,79.2,8.5,10.1
DE,6.86,5,82.7,79.40000000000001,77.5,10.2,11.4
FL,12.06,8.9,93,83.5,74.40000000000001,17.8,10.6
GA,7.23,11.4,67.7,70.8,70.90000000000001,13.5,13
HI,2.61,3.8,74.7,40.9,80.09999999999999,8,9.1
IA,3.26,2.3,43.8,96.59999999999999,80.09999999999999,10.3,9
ID,2.82,2.9,30,96.7,79.7,13.1,9.5
IL,9.6,11.4,84,81,76.2,13.6,11.5
IN,4.89,7.5,71.59999999999999,90.59999999999999,75.59999999999999,12.2,10.8
KS,4.96,6.4,54.6,90.90000000000001,81.3,13.1,9.9
KY,4.63,6.6,48.5,91.8,64.59999999999999,20.4,10.6
LA,10.62,20.3,75,66.7,68.3,26.4,14.9
MA,8.050000000000001,3.9,96.2,91.09999999999999,80,10.7,10.9
MD,9.98,12.7,92.8,68.90000000000001,78.40000000000001,9.699999999999999,12
ME,1.26,1.6,35.7,98.5,78.8,10.7,10.6
MI,7.92,9.800000000000001,82.7,83.09999999999999,76.8,15.4,13
MN,3.27,3.4,69.3,94,82.40000000000001,11.6,9.9
MO,7.44,11.3,68.3,87.59999999999999,73.90000000000001,16.1,10.9
MS,3.34,13.5,30.7,63.3,64.3,24.7,14.7
MT,1.78,3,24,92.59999999999999,81,14.9,10.8
NC,6.79,11.3,66.3,75.2,70,14.4,11.1
ND,8.199999999999999,1.7,41.6,94.2,76.7,11.2,8.4
NE,3.39,3.9,50.6,94.3,81.8,10.3,9.4
NH,1.38,2,59.4,98,82.2,9.9,9.199999999999999
NJ,6.27,5.3,100,80.8,76.7,10.9,9.6
NM,9.300000000000001,8,56,87.09999999999999,75.09999999999999,17.4,13.8
NV,8.75,10.4,84.8,86.7,78.8,9.800000000000001,12.4
NY,10.74,13.3,91.7,77.2,74.8,16.4,12.7
OH,5.04,6,81.3,87.5,75.7,13,11.4
OK,6.35,8.4,60.1,82.5,74.59999999999999,19.9,11.1
OR,5.03,4.6,70,93.2,81.5,11.8,11.3
PA,4.18,6.8,84.8,88.7,74.7,13.2,9.6
RI,4.02,3.9,93.59999999999999,92.59999999999999,72,11.2,10.8
SC,10.23,10.3,69.8,68.59999999999999,68.3,18.7,12.3
SD,2.08,3.4,32.6,90.2,77.09999999999999,14.2,9.4
TN,7.66,10.2,67.7,82.8,67.09999999999999,19.6,11.2
TX,7.62,11.9,83.90000000000001,85.09999999999999,72.09999999999999,17.4,11.8
UT,3.01,3.1,77.5,94.8,85.09999999999999,10.7,10
VA,3.72,8.300000000000001,77.5,77.09999999999999,75.2,9.699999999999999,10.3
VT,1.14,3.6,27,98.40000000000001,80.8,10,11
WA,5.15,5.2,83,89.40000000000001,83.8,12.1,11.7
WI,2.64,4.4,68.09999999999999,92.09999999999999,78.59999999999999,12.6,10.4
WV,2.08,6.9,41.8,96.3,66,22.2,9.4
WY,2.86,3.4,29.7,95.90000000000001,83,13.3,10.8
DC,29.22,78.5,100,31.8,73.09999999999999,26.4,22.1
